Product;Min. Price;Max. Price;Link;Form Factor;Socket;Chipset;Memory slots;Connectors;Expansion
ASRock B650M-HDV/M.2;£107.48;£189.99;e-catalog.co.uk/ASROCK-B650M-HDV-M-2.htm;micro-ATX;AMD AM5;AMD B650;2 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
MSI MPG B550 GAMING PLUS;£106.97;£269.99;e-catalog.co.uk/MSI-MPG-B550-GAMING-PLUS.htm;ATX;AMD AM4;AMD B550;4 х DDR4, 4400 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 2
Asus TUF GAMING B550M-PLUS;£129.99;£146.99;e-catalog.co.uk/ASUS-TUF-GAMING-B550M-PLUS.htm;micro-ATX;AMD AM4;AMD B550;4 х DDR4, 4866 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
Asus TUF GAMING A520M-PLUS II;£86.06;£94.99;e-catalog.co.uk/ASUS-TUF-GAMING-A520M-PLUS-II.htm;micro-ATX;AMD AM4;AMD A520;4 х DDR4, 4866 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 1
MSI B650M GAMING PLUS WIFI;£141.59;£208.30;e-catalog.co.uk/MSI-B650M-GAMING-PLUS-WIFI.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 1
ASRock B450M-HDV R4.0;£49.99;£69.22;e-catalog.co.uk/ASROCK-B450M-HDV-R4-0.htm;micro-ATX;AMD AM4;AMD B450;2 х DDR4, 3200 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 1
Asus TUF GAMING B450-PLUS II;£99.54;£149.99;e-catalog.co.uk/ASUS-TUF-GAMING-B450-PLUS-II.htm;ATX;AMD AM4;AMD B450;4 х DDR4, 4400 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 3, PCI-E 16x - 2
Asus PRIME B650M-K;£101.99;£133.49;e-catalog.co.uk/ASUS-PRIME-B650M-K.htm;micro-ATX;AMD AM5;AMD B650;2 х DDR5, 6400 MHz;HDMI, M.2;PCI-E 1x - 2, PCI-E 16x - 1
ASRock B450M Pro4 R2.0;£68.99;£75.99;e-catalog.co.uk/ASROCK-B450M-PRO4-R2-0.htm;micro-ATX;AMD AM4;AMD B450;4 х DDR4, 3200 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 2
ASRock B650 Steel Legend WiFi;£187.99;£239.99;e-catalog.co.uk/ASROCK-B650-STEEL-LEGEND-WIFI.htm;ATX;AMD AM5;AMD B650;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
Gigabyte B550M AORUS ELITE;£86.29;£150.01;e-catalog.co.uk/GIGABYTE-B550M-AORUS-ELITE.htm;micro-ATX;AMD AM4;AMD B550;4 х DDR4, 4733 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 2
ASRock B550M Pro4;£91.99;£187.00;e-catalog.co.uk/ASROCK-B550M-PRO4.htm;micro-ATX;AMD AM4;AMD B550;4 х DDR4, 4733 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
Asus ROG STRIX B550-A GAMING;£130.14;£289.99;e-catalog.co.uk/ASUS-ROG-STRIX-B550-A-GAMING.htm;ATX;AMD AM4;AMD B550;4 х DDR4, 5100 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 3, PCI-E 16x - 2
MSI B650 GAMING PLUS WIFI;£138.78;£347.99;e-catalog.co.uk/MSI-B650-GAMING-PLUS-WIFI.htm;ATX;AMD AM5;AMD B650;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
MSI MAG B650 TOMAHAWK WIFI;£129.98;£199.42;e-catalog.co.uk/MSI-MAG-B650-TOMAHAWK-WIFI.htm;ATX;AMD AM5;AMD B650;4 х DDR5, 7600 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 1
Gigabyte B450 AORUS Elite V2;£80.84;£97.60;e-catalog.co.uk/GIGABYTE-B450-AORUS-ELITE-V2.htm;ATX;AMD AM4;AMD B450;4 х DDR4, 3600 MHz;HDMI, M.2;PCI-E 1x - 2, PCI-E 16x - 2
